headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
abandoned,ADJ,B2,,,
abnormally,ADV,B2,,,
abolish,VERB,B2,,,
aboriginal,ADJ,B2,,,
abruptly,ADV,B2,,,
absentee,NOUN,B2,,,
absurd,ADJ,B2,,,
abuse,NOUN,B2,"News, lifestyles and current affairs",,
access,VERB,B2,,,
accessibility,NOUN,B2,,,
accommodation,NOUN,B2,Travel and services vocab,,Travel
accordingly,ADV,B2,,,
accumulate,VERB,B2,,,
accusation,NOUN,B2,"News, lifestyles and current affairs",,
ache,VERB,B2,,,
achievable,ADJ,B2,,,
acid,NOUN,B2,,,
acquisition,NOUN,B2,Education,,
actively,ADV,B2,,,
actual,ADJ,B2,,,
acute,ADJ,B2,,,
adaptable,ADJ,B2,,,
addict,NOUN,B2,"News, lifestyles and current affairs",,
addicted,ADJ,B2,,,
addiction,NOUN,B2,"News, lifestyles and current affairs",,
additionally,ADV,B2,,,
adequate,ADJ,B2,,,
adequately,ADV,B2,,,
adjustment,NOUN,B2,,,
administrative,ADJ,B2,,,
admirable,ADJ,B2,,,
admiringly,ADV,B2,,,
admittedly,ADV,B2,,,
adopted,ADJ,B2,,,
adoption,NOUN,B2,,,
adore,VERB,B2,,,
adorn,VERB,B2,,,
advance,NOUN,B2,,,
advancement,NOUN,B2,,,
advent,NOUN,B2,Books and literature,,
adventurous,ADJ,B2,,,
adverse,ADJ,B2,,,
adversely,ADV,B2,,,
adversity,NOUN,B2,,,
affectionate,ADJ,B2,,,
affectionately,ADV,B2,,,
affordable,ADJ,B2,,,
ageless,ADJ,B2,,,
aggressively,ADV,B2,,,
agonize/agonise,VERB,B2,,,
agony,NOUN,B2,Books and literature,,
aim,VERB,B2,,,
aircraft,NOUN,B2,,,
aircrew,NOUN,B2,Work and jobs,,Personal identification
alcoholic,NOUN,B2,"News, lifestyles and current affairs",,Food and drink
alcoholism,NOUN,B2,"News, lifestyles and current affairs",,
alert,VERB,B2,,,
allegation,NOUN,B2,,,
alliance,NOUN,B2,"News, lifestyles and current affairs",,
ally,NOUN,B2,"News, lifestyles and current affairs",,
alongside,SCONJ,B2,,,
alphabetical,ADJ,B2,,,
altar,NOUN,B2,Books and literature,,
alter,VERB,B2,,,
alternate,VERB,B2,,,
alternatively,ADV,B2,,,
altitude,NOUN,B2,,,
aluminum/aluminium,NOUN,B2,Education,,
amaze,VERB,B2,,,
amazement,NOUN,B2,,,
amazingly,ADV,B2,,,
ambassador,NOUN,B2,"News, lifestyles and current affairs",,
ambiguity,NOUN,B2,,,
ambiguous,ADJ,B2,,,
ammonia,NOUN,B2,Education,,
amongst,SCONJ,B2,,,
ample,ADJ,B2,,,
amplifier,NOUN,B2,,,
amplify,VERB,B2,,,
amuse,VERB,B2,,,
analogy,NOUN,B2,,,
analyst,NOUN,B2,,,Personal identification
anchor,NOUN,B2,,,
anchorage,NOUN,B2,,,
anchorman,NOUN,B2,Hobbies and pastimes,,"Free time, entertainment"
anchorperson,NOUN,B2,Hobbies and pastimes,,"Free time, entertainment"
anguish,NOUN,B2,,,
animate,VERB,B2,,,
anonymous,ADJ,B2,,,
antiaircraft,ADJ,B2,,,
antibacterial,ADJ,B2,,,
anticancer,NOUN,B2,Travel and services vocab,,Health and body care
anticipate,VERB,B2,,,
anticipation,NOUN,B2,,,
antipollution,NOUN,B2,"News, lifestyles and current affairs",,
antique,ADJ,B2,,,
antistatic,ADJ,B2,,,
antivirus,NOUN,B2,Travel and services vocab,,Health and body care
apostrophe,NOUN,B2,,,Language
appeal,VERB,B2,,,
applicant,NOUN,B2,Education,,
appreciative,ADJ,B2,,,
approach,VERB,B2,,,
appropriately,ADV,B2,,,
approximate,ADJ,B2,,,
arch,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
archaeologist/archeologist,NOUN,B2,Work and jobs,,Personal identification
arctic,ADJ,B2,,,
arena,NOUN,B2,"Things in the town, shops and shopping",Leisure activities,"House and home, environment"
aristocracy,NOUN,B2,,,
armful,NOUN,B2,Idiomatic expressions,,
arouse,VERB,B2,,,
arrogant,ADJ,B2,,,
artery,NOUN,B2,,,
articulate,VERB,B2,,,
artificially,ADV,B2,,,
artistry,NOUN,B2,Arts,,"Free time, entertainment"
ash,NOUN,B2,,,
aspiration,NOUN,B2,,,
aspire,VERB,B2,,,
assault,NOUN,B2,"News, lifestyles and current affairs",,
assemble,VERB,B2,,,
assembly,NOUN,B2,Education,Leisure activities,
assert,VERB,B2,,,
assess,VERB,B2,,,
assessment,NOUN,B2,Education,,
assumption,NOUN,B2,,,
assurance,NOUN,B2,,,
assure,VERB,B2,,,
astonish,VERB,B2,,,
astonished,ADJ,B2,,,
astonishing,ADJ,B2,,,
astonishment,NOUN,B2,,,
astronomy,NOUN,B2,Education,,
athletics,NOUN,B2,Leisure activities,Hobbies and pastimes,"Free time, entertainment"
attached,ADJ,B2,,,
attainable,ADJ,B2,,,
attainment,NOUN,B2,,,
attendance,NOUN,B2,,,
attentive,ADJ,B2,,,
attentively,ADV,B2,,,
attractiveness,NOUN,B2,,,
attribute,NOUN,B2,,,
attribute,VERB,B2,,,
atypical,ADJ,B2,,,
aubergine,NOUN,B2,,,Food and drink
audit,NOUN,B2,Work and jobs,,Personal identification
audition,NOUN,B2,,,
authoritative,ADJ,B2,,,
authorize/authorise,VERB,B2,,,
availability,NOUN,B2,,,
await,VERB,B2,,,
awe,NOUN,B2,,,
ax/axe,NOUN,B2,Objects and rooms,,Shopping
axis,NOUN,B2,,,
backup,NOUN,B2,,,
backward/backwards,ADV,B2,,,
backyard,NOUN,B2,Objects and rooms,,"House and home, environment"
badge,NOUN,B2,,,
bad-tempered,ADJ,B2,,,
balance,VERB,B2,,,
balanced,ADJ,B2,,,
balky,ADJ,B2,,,
ballad,NOUN,B2,Arts,,"Free time, entertainment"
ballet,NOUN,B2,Arts,Hobbies and pastimes,"Free time, entertainment"
ballot,NOUN,B2,,,
ban,NOUN,B2,"News, lifestyles and current affairs",,
ban,VERB,B2,,,
banker,NOUN,B2,Work and jobs,,Personal identification
bankrupt,VERB,B2,,,
bankruptcy,NOUN,B2,"News, lifestyles and current affairs",,
barbershop,NOUN,B2,"Things in the town, shops and shopping",,"House and home, environment"
bare,VERB,B2,,,
bargain,VERB,B2,,,
bark,VERB,B2,,,
barley,NOUN,B2,Food and drink,,Food and drink
